,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
0,A Place at the Table,ChIJz8-c3W9frIkR2LKDcGia8PI,35.7785423,-78.64421109999999,4.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","300 W Hargett St #50, Raleigh"
1,Second Empire Restaurant and Tavern,ChIJI5JTm29frIkRPpzgRTTHd0A,35.7809315,-78.6446955,4.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","330 Hillsborough St, Raleigh"
2,ORO,ChIJW0O8EHJfrIkRZO9PP0fcT5E,35.7768271,-78.6384425,4.4,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","18 E Martin St, Raleigh"
3,Parkside Restaurant,ChIJm1ChOHBfrIkRgF21fCRMZnI,35.7769725,-78.6437054,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","301 W Martin St, Raleigh"
4,Poole's,ChIJG7DCGnFfrIkRvFlTUG3CZXw,35.774718,-78.6423039,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","426 S McDowell St, Raleigh"
5,Oak Steakhouse Raleigh,ChIJD4azhMVfrIkRqEyvXFf1o7k,35.7783935,-78.6458983,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","417 W Hargett St, Raleigh"
6,Sitti,ChIJ19sFjm1frIkRfg9-b_kFExU,35.7783752,-78.63794399999999,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","137 S Wilmington St, Raleigh"
7,Gravy,ChIJa5y7kW1frIkRgWCYL18Phvo,35.778507,-78.638019,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","135 S Wilmington St, Raleigh"
8,Humble Pie,ChIJ6UyNenBfrIkRiESg4cV_ngk,35.7762737,-78.645021,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","317 S Harrington St, Raleigh"
9,Caffe Luna,ChIJi42jeW1frIkR_kp3cwgWp0g,35.7780833,-78.6367278,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","136 E Hargett St, Raleigh"
10,Garland,ChIJm2aYHXJfrIkRFlNYhGQZT6k,35.7770706,-78.6397844,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","14 W Martin St, Raleigh"
11,Barcelona Wine Bar,ChIJA15JvjhfrIkRAHgzqMduZBw,35.7772716,-78.6459204,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","430 W Martin St, Raleigh"
12,Carroll's Kitchen,ChIJ8dNTbXJfrIkRzAnh0A3k-vQ,35.7770147,-78.63840809999999,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","19 E Martin St, Raleigh"
13,Whiskey Kitchen,ChIJN6O3t3FfrIkRO3hIls0zkpk,35.776712,-78.642141,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","201 W Martin St, Raleigh"
14,The Fiction Kitchen,ChIJbx4b7HBfrIkRebPNrZE_r2k,35.774619,-78.64388,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","428 S Dawson St, Raleigh"
15,Death and Taxes,ChIJEyImA25frIkRsIhJGErQbQc,35.7781944,-78.6404271,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","105 W Hargett St, Raleigh"
16,Good Day Good Night,ChIJEfy87xZfrIkRzIuumtXYo0A,35.779791,-78.6481223,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","603 W Morgan St, Raleigh"
17,Manhattan Cafe & Catering,ChIJxzWDtXNfrIkRvafa_AqLQR4,35.7761098,-78.6387973,4.6,"['restaurant', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","320 S Wilmington St, Raleigh"
18,Centro,ChIJy5Ktv21frIkRmJLtTT3tpDM,35.7792756,-78.6383319,4.5,"['grocery_or_supermarket', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","106 S Wilmington St, Raleigh"
19,Taverna Agora Greek Kitchen & Bar,ChIJjWQQnm9frIkRc-p5X0HfAyQ,35.7808358,-78.644441,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","326 Hillsborough St, Raleigh"
